month,item,qty,revenue_rm
2025-08,"Almond Crepe Cake",13,219.70
2025-08,"Almond Croissant",6,89.40
2025-08,"Berry Berries",6,39.60
2025-08,"Black",43,292.10
2025-08,"Burnt Cheesecake",22,371.80
2025-08,"Buttercream Chocolate",25,317.37
2025-08,"Buttercream Latte",79,1056.45
2025-08,"Cappucino",3,36.70
2025-08,"Caramel Latte",26,350.50
2025-08,"Caramel Latte (Bottle)",9,116.10
2025-08,"Caramel Macchiato",23,277.32
2025-08,"Chocolate",25,315.70
2025-08,"Chocolate (Bottle)",9,116.10
2025-08,"Chocolate Mudslide",37,625.30
2025-08,"Citrus Iced Lemon Tea",3,23.80
2025-08,"Citrus Mojito",6,24.75
2025-08,"Classic Croissant",6,59.40
2025-08,"Classic Latte (Bottle)",13,167.70
2025-08,"Dirty Latte",16,208.50
2025-08,"Doppio Freddo",11,111.20
2025-08,"Earl Grey",2,18.82
2025-08,"Egg Sando",12,120.80
2025-08,"Half Boiled Eggs",6,22.05
2025-08,"Hazelnut Latte",16,181.70
2025-08,"Latte",71,684.22
2025-08,"Matcha",23,277.00
2025-08,"Matcha (Bottle)",1,12.90
2025-08,"Matcha Cream Latte",20,260.75
2025-08,"Mineral Water",20,60.00
2025-08,"Mini Biscoff (3 pcs)",2,20.85
2025-08,"Mini Choc Chip No Nuts (3 pcs)",2,27.80
2025-08,"Mini Double Choc (3 pcs)",1,13.90
2025-08,"Mini Matcha Macademia (3 pcs)",1,13.90
2025-08,"Mini Red Velvet (3 pcs)",3,41.70
2025-08,"Mint Chocolate",11,96.30
2025-08,"Mint Matcha",10,145.00
2025-08,"Mocha",9,96.30
2025-08,"Mocha (Bottle)",16,206.40
2025-08,"NYC Double Choc Dulcey",4,55.60
2025-08,"NYC Hazelut Seasalt",2,27.80
2025-08,"NYC Red Velvet Biscoff",2,27.80
2025-08,"NYC Smores",2,27.80
2025-08,"Peanut Butter Mocha",11,160.90
2025-08,"Peppermint",5,31.70
2025-08,"Piccolo",14,136.25
2025-08,"Roti Bakar Brioche",30,207.00
2025-08,"Roti Bakar Brioche with Half Boiled Eggs",12,113.85
2025-08,"Salted Caramel Latte",10,27.80
2025-08,"Smoked Pulled Lamb",6,157.40
2025-08,"Spanish Latte",28,283.00
2025-08,"Streaky Beef Pesto",8,126.75
2025-08,"Summer Lagoon",6,49.50
2025-08,"Unknown",36,70.50
2025-08,"Vanilla Latte",17,204.50
2025-08,"White Mocha",8,94.30
2025-09,"Almond Crepe Cake",81,1360.45
2025-09,"Almond Croissant",25,372.50
2025-09,"Berry Berries",45,415.80
2025-09,"Black",414,3503.00
2025-09,"Burnt Cheesecake",145,2429.35
2025-09,"Buttercream Chocolate",184,2558.25
